session_id,participant_id,game_title,game_genre,task_type,task_duration_min,rest_duration_min,fatigue_before_rest,loss_after_rest,extend_intention,task_return_ease,detachment,relaxation,mastery,control,rest_satisfaction,self_efficacy
1,P1,スイカゲーム,パズル,卒業論文調査,24,10,3,5,5,5,5,2,4,3,4,4
2,P2,APEX Legends,バトロワFPS,スライド作成,42,15,2,3,4,3,5,3,2,2,4,4
3,P3,Slay the Spire 2,デッキ構築ローグライク,論文読み・資料作成,20,10,4,4,4,4,3,4,4,4,4,2
4,P3,Jump King,プラットフォーマー,論文読み・資料作成,20,10,4,2,5,2,4,2,2,2,2,2
5,P4,ブロスタ,スマホ3v3アクション,研究活動,30,15,3,4,4,4,5,4,2,4,4,5
6,P5,Chameleon Run,高難易度ランゲーム,研究活動（LLMコーディング）,20,13,4,5,5,5,4,1,5,5,5,5
7,P6,メタルギアソリッド3 デルタ,ステルス,就活情報整理,20,14,5,5,1,5,5,4,4,2,5,4
8,P6,斑鳩,シューティング,就活情報整理,25,10,5,5,5,5,5,2,4,4,5,5
9,P7,マリオカートワールド,レース,課題（情報理論特論）,30,11,3,4,5,4,5,2,5,3,5,4
10,P7,Battlefield 6,大人数FPS,研究調べ物,39,14,4,3,3,3,4,4,2,4,3,3
11,P5,TimeLocker,シューティング,文書執筆（イベント要項）,20,10,2,5,5,5,4,5,3,5,4,5
12,P5,Mini Motorway,道路パズル,文書執筆（イベント要項）,40,20,3,4,1,2,5,5,4,2,5,5
13,P8,マリオカート8 デラックス,レース,レポート・発表資料作成,,,4,4,4,4,5,4,5,4,4,4
